AAPL R735QTJ8XC9X,AAPL,246.67,71796128,17709950893,False,0.992308,0.25
AIG R735QTJ8XC9X,AIG,18.78,13503948,253604143,False,0.964624,1
BHE WQVYDSP9UNOL,BHE,108.47,25247,2738542,False,0.7179694,1
BNO UN3IMQ2JU1YD,BNO,8.65,1367337,11827465,False,1,1
CES WQVYDSP9UNOL,CES,72.83,22154,1613475,False,1,1
EEM SNQLASP67O85,EEM,30.89,99749970,3081276573,False,0.9840525,1
FB V6OIPNZEM8V9,FB,146.96,35589094,5230173254,False,1,1
GOOCV VP83T1ZUHROL,GOOG,1096.8,3988967,4375099005,False,1,1
GOOG T1AZ164W5VTX,GOOGL,1091.19,4414429,4816980780,False,1,1
IBM R735QTJ8XC9X,IBM,103.6,7018880,727155968,False,0.9474309,1
IWM RV0PWMLXVHPH,IWM,99.97,58396417,5837889807,False,0.9840907,1
NB R735QTJ8XC9X,BAC,20.79,146252467,3040588788,False,0.9752518,1
QQQ RIWIV7K5Z9LX,QQQ,176.6,103468629,18272559881,False,0.9915107,1
SPY R735QTJ8XC9X,SPY,240,300967068,72232096320,False,0.9784638,1
USO THORT68ZZSYT,USO,4.71,181508987,854907328,False,1,8
UW R735QTJ8XC9X,WM,102.46,4546774,465862464,False,0.9810387,1
