AAPL R735QTJ8XC9X,AAPL,279.44,46250825,12924330538,False,0.9899586,0.25
AIG R735QTJ8XC9X,AIG,51.54,7301926,376341266,False,0.9525991,1
BHE WQVYDSP9UNOL,BHE,123.97,20720,2568658,False,0.7179694,1
BNO UN3IMQ2JU1YD,BNO,20.64,131682,2717916,False,1,1
CES WQVYDSP9UNOL,CES,78.13,19187,1499080,False,1,1
EEM SNQLASP67O85,EEM,44.61,61258206,2732728569,False,0.9840525,1
FB V6OIPNZEM8V9,FB,206.3,22852839,4714540685,False,1,1
GOOCV VP83T1ZUHROL,GOOG,1349.59,2690705,3631348560,False,1,1
GOOG T1AZ164W5VTX,GOOGL,1351.22,1959550,2647783151,False,1,1
IBM R735QTJ8XC9X,IBM,135.59,5176953,701943057,False,0.9376399,1
IWM RV0PWMLXVHPH,IWM,165.97,21367768,3546408454,False,0.9840907,1
NB R735QTJ8XC9X,BAC,34.96,91576688,3201521012,False,0.9690685,1
QQQ RIWIV7K5Z9LX,QQQ,211.71,24243313,5132551795,False,0.9893674,1
SPY R735QTJ8XC9X,SPY,320.73,121837660,39076992691,False,0.9784638,1
USO THORT68ZZSYT,USO,12.63,10304894,130150811,False,1,8
UW R735QTJ8XC9X,WM,113.16,2758019,312097430,False,0.9765939,1
